date,amount
2023-12-07,12798.0
2023-12-08,12798.0
2023-12-10,12798.0
2023-12-11,12798.0
2023-12-12,12798.0
2023-12-13,12798.0
2023-12-14,12798.0
2023-12-15,12798.0
2023-12-16,12798.0
2023-12-17,12798.0
2023-12-18,12798.0
2023-12-19,12798.0
2023-12-20,12798.0
2023-12-21,12798.0
2023-12-22,12798.0
2023-12-23,12798.0
2023-12-24,12798.0
2023-12-25,12798.0
2023-12-26,12798.0
2023-12-27,12798.0
2023-12-28,12798.0
2023-12-29,12798.0
2023-12-30,12798.0
2023-12-31,12798.0
2024-01-01,12798.0
2024-01-02,12798.0
2024-01-03,12798.0
2024-01-04,12798.0
2024-01-05,12798.0
2024-01-06,12798.0
2024-01-07,12798.0
2024-01-08,12798.0
2024-01-09,12798.0
2024-01-11,12798.0
2024-01-12,12798.0
2024-01-14,12798.0
2024-01-15,12798.0
2024-01-16,12798.0
2024-01-17,12798.0
2024-01-18,12798.0
2024-01-19,12798.0
2024-01-20,12798.0
2024-01-21,12798.0
2024-01-22,12798.0
2024-01-23,12798.0
2024-01-25,12798.0
2024-01-26,12798.0
2024-01-27,12798.0
2024-01-28,12798.0
2024-01-29,12798.0
2024-01-30,12798.0
2024-02-01,12798.0
2024-02-02,12798.0
2024-02-03,12798.0
2024-02-04,12798.0
2024-02-05,12798.0
2024-02-06,12798.0
2024-02-08,12798.0
2024-02-09,12798.0
2024-02-11,12798.0
2024-02-12,12798.0
2024-02-13,12798.0
2024-02-14,12798.0
2024-02-15,12798.0
2024-02-16,12798.0
2024-02-17,12798.0
2024-02-18,12798.0
2024-02-19,12798.0
2024-02-20,12798.0
2024-02-21,12798.0
2024-02-22,12798.0
2024-02-23,12798.0
2024-02-25,12798.0
2024-02-27,12798.0
2024-02-28,12798.0
2024-02-29,12798.0
